"","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","postal.code","distance_km","started_hour","time_block","day_of_week","weekend_or_weekday"
"88",338,2022-01-01 00:40:00.445,2022-01-01 00:45:39.052,342,"Boylston St at Jersey St",42.3446506288783,-71.0973250122697,55,"Boylston St at Massachusetts Ave",42.3474062052521,-71.0867841495565,3404,"Subscriber","02115",0.919901875382485,0,"Night","Saturday","Weekend"
"89",776,2022-01-01 00:41:48.83,2022-01-01 00:54:44.958,60,"Charles Circle - Charles St at Cambridge St",42.3607929685827,-71.0711896233715,381,"Inman Square at Springfield St.",42.3742671352493,-71.100264787674,7529,"Subscriber","02139",2.82282532130753,0,"Night","Saturday","Weekend"
"90",280,2022-01-01 00:42:03.037,2022-01-01 00:46:43.443,328,"Grove St at Community Path",42.396386809455,-71.1201130600602,239,"Community Path at Cedar Street",42.3940722366588,-71.1113369464874,3082,"Customer","34744",0.766117416673855,0,"Night","Saturday","Weekend"
"91",307,2022-01-01 00:42:49.668,2022-01-01 00:47:57.564,415,"Stuart St at Berkeley St",42.3495440311425,-71.0724207387284,25,"South End Library - Tremont St at W Newton St",42.341332,-71.076847,5747,"Customer","02118",0.984027499614608,0,"Night","Saturday","Weekend"
"92",1106,2022-01-01 00:43:13.478,2022-01-01 01:01:40.401,149,"175 N Harvard St",42.363796,-71.129164,149,"175 N Harvard St",42.363796,-71.129164,2616,"Subscriber","02130",0,0,"Night","Saturday","Weekend"
"93",1534,2022-01-01 00:43:39.216,2022-01-01 01:09:13.833,183,"Alewife MBTA at Steel Place",42.3955884571671,-71.142606139183,87,"Harvard University Housing - 115 Putnam Ave at Peabody Terrace",42.366621,-71.114214,6688,"Customer","89703",3.98107688193323,0,"Night","Saturday","Weekend"
"94",833,2022-01-01 00:44:14.259,2022-01-01 00:58:07.964,43,"Rowes Wharf at Atlantic Ave",42.357143,-71.050699,94,"Main St at Austin St",42.375603,-71.064608,3639,"Subscriber","02109",2.35193007672253,0,"Night","Saturday","Weekend"
"95",998,2022-01-01 00:44:45.52,2022-01-01 01:01:23.576,23,"Boston City Hall - 28 State St",42.35892,-71.057629,20,"Aquarium T Stop - 200 Atlantic Ave",42.3599117611012,-71.0514298081398,4872,"Customer","02151",0.521745216931698,0,"Night","Saturday","Weekend"
"96",244,2022-01-01 00:45:13.239,2022-01-01 00:49:18.053,116,"359 Broadway - Broadway at Fayette Street",42.370803,-71.104412,386,"Sennott Park Broadway at Norfolk Street",42.368605242482,-71.0993018560566,6469,"Subscriber","02139",0.486302405870861,0,"Night","Saturday","Weekend"
"97",2427,2022-01-01 00:45:18.734,2022-01-01 01:25:46.43,60,"Charles Circle - Charles St at Cambridge St",42.3607929685827,-71.0711896233715,408,"Edgerly Education Center",42.3871746334831,-71.0871438852882,2601,"Subscriber","02145",3.21655796744064,0,"Night","Saturday","Weekend"
